"Item ID #","Supplier Stock Ref","Cut","Carat","Color","Natural Fancy Color","Natural Fancy Color Intensity","Natural Fancy Color Overtone","Treated Color","Clarity","Make (Cut Grade)","Grading Lab","Certificate Number","Certificate Path","Image Path","Online Report","Price Per Carat","Total Price","Polish","Symmetry","Measurements (LengthxWidthxHeight)","Depth","Table","Crown Height","Pavilion Depth","Girdle (From / To)","Culet Size","Culet Condition","Graining","Fluorescence Intensity","Fluorescence Color","Enhancement","Supplier","Country","State / Region","Remarks","Phone","Pair Stock Ref.","Email","priceVariance","rareCaretPrice","idexPrice"
"98223168","619675","Round","0.31","D","","","","","SI2","Excellent","GIA","2161530595","http://DiamondTransactions.net/icp?di=98223168","","","1425","441.75","Excellent","Excellent","4.43x4.45x2.67","60.1","58","14","43.5","Thin","Very Small","","","None","","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.7152103559870551,618,"441.75"
"99088865","297-50","Round","0.31","G","","","","","VVS2","Excellent","GIA","2131595592","http://DiamondTransactions.net/icp?di=99088865","","","1950","604.50","Excellent","Excellent","4.43x4.45x2.65","59.6","60","","","","None","","","Medium","","","Luz Diamonds ","USA","California","","+1-213-688 8778","","dan@luzdiamonds.com",0.741421568627451,816,"604.50"
"103116810","101010458597","Round","0.31","I","","","","","IF","Very Good","GIA","1129614961","http://DiamondTransactions.net/icp?di=103116810","","","1323","410.13","Excellent","Very Good","4.34x4.36x2.7","62","55","","","","","","","None","","","SDE - Smart Diamond 5772 Ltd.","Belgium","","","32-3-2268005","","raffi.s@sdegroup.com",0.5593451568894953,733,"410.13"
"103378403","98364","Round","0.56","E","","","","","SI2","Very Good","GIA","1162513893","http://DiamondTransactions.net/icp?di=103378403","","","1836","1028.16","Excellent","Excellent","5.25x5.23x3.28","62.6","58","0.15","43","Medium / Thick","","","","None","","","Protea Diamonds Co. Ltd.","Israel","","","972-3-7518460","","office@protea1984.com",0.8350934199837531,1230.77,"1028.16"
"103881448","4632","Round","0.36","E","","","","","SI1","Excellent","GIA","1179890837","http://DiamondTransactions.net/icp?di=103881448","","","1470","529.20","Very Good","Excellent","4.59x4.6x2.8","60.9","57","15","43","","","","","None","","","Zlayet - Universal Diamonds","Belgium","","","32-3-2338075","","zlayeta@gmail.com",0.2924267551133223,1809,"529.20"
"103881450","4615","Round","0.4","F","","","","","SI1","Very Good","GIA","5186739827","http://DiamondTransactions.net/icp?di=103881450","","","1690","676.00","Very Good","Very Good","4.77x4.78x2.86","60","59","13","43","","","","","None","","","Zlayet - Universal Diamonds","Belgium","","","32-3-2338075","","zlayeta@gmail.com",0.4539959704499664,1489,"676.00"
"105424998","39979","Round","0.31","J","","","","","VS2","Excellent","GIA","7198958761","http://DiamondTransactions.net/icp?di=105424998","","","1396","432.76","Excellent","Excellent","4.39x4.38x2.72","62.1","56","15","43.5","Medium","None","","","None","","","R.Rothem Diamonds Ltd","Israel","","In order to view a HIGH-QUALITY PHOTO of this diamond press the camera icon next to Grading Lab","972-3-575-3518","","erez@rothem-group.com",0.6661538461538462,650,"432.76"
"105425026","39925","Round","0.32","I","","","","","SI1","Excellent","GIA","7192958719","http://DiamondTransactions.net/icp?di=105425026","","","1372","439.04","Very Good","Excellent","4.43x4.39x2.72","61.7","58","14.5","44","Medium","None","","","None","","","R.Rothem Diamonds Ltd","Israel","","In order to view a HIGH-QUALITY PHOTO of this diamond press the camera icon next to Grading Lab","972-3-575-3518","","erez@rothem-group.com",0.5664516129032258,775,"439.04"
"105425027","39991","Round","0.32","J","","","","","VS2","Excellent","GIA","6191952794","http://DiamondTransactions.net/icp?di=105425027","","","1396","446.72","Excellent","Excellent","4.47x4.45x2.7","60.4","57","13.5","43.5","Thin / Medium","None","","","None","","","R.Rothem Diamonds Ltd","Israel","","In order to view a HIGH-QUALITY PHOTO of this diamond press the camera icon next to Grading Lab","972-3-575-3518","","erez@rothem-group.com",0.9955456570155902,449,"446.72"
"105425028","39871","Round","0.32","J","","","","","SI2","Excellent","GIA","2198953124","http://DiamondTransactions.net/icp?di=105425028","","","1189","380.48","Excellent","Excellent","4.44x4.41x2.73","61.7","57","14.5","43.5","Thin / Medium","None","","","None","","","R.Rothem Diamonds Ltd","Israel","","In order to view a HIGH-QUALITY PHOTO of this diamond press the camera icon next to Grading Lab","972-3-575-3518","","erez@rothem-group.com",0.8407079646017699,452,"380.48"
"105751543","682251","Round","0.31","I","","","","","SI2","Excellent","GIA","2198748539","http://DiamondTransactions.net/icp?di=105751543","","","1120","347.20","Very Good","Excellent","4.37x4.39x2.64","60.4","58","13.5","43","Medium / Slightly Thick","None","","","Faint","","","Windiam","Belgium","","","32-3-2266444","","katrien@windiam.net",0.8361445783132531,415,"347.20"
"106250352","375-2271","Round","0.32","E","","","","","SI1","Very Good","GIA","1152020895","http://DiamondTransactions.net/icp?di=106250352","","","1575","504.00","Good","Very Good","4.33x4.37x2.72","62.4","58","","","","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.6942148760330579,726,"504.00"
"106250353","375-2273","Round","0.31","E","","","","","SI1","Very Good","GIA","1152020833","http://DiamondTransactions.net/icp?di=106250353","","","1575","488.25","Very Good","Very Good","4.28x4.33x2.7","62.7","60","","","","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.6657571623465212,733,"488.25"
"106250372","375-2370","Round","0.31","E","","","","","SI1","Excellent","GIA","6157151115","http://DiamondTransactions.net/icp?di=106250372","","","1722","533.82","Excellent","Very Good","4.38x4.42x2.67","60.7","57","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.7934621099554234,673,"533.82"
"106250375","375-2394","Round","0.33","E","","","","","SI2","Excellent","GIA","2155223501","http://DiamondTransactions.net/icp?di=106250375","","","1440","475.20","Very Good","Very Good","4.45x4.41x2.74","62","57","34","41.2","Medium / Slightly Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","no black 100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.9615384615384616,494,"475.20"
"106250377","375-2419","Round","0.31","D","","","","","SI1","Excellent","GIA","2155335036","http://DiamondTransactions.net/icp?di=106250377","","","1804","559.24","Very Good","Very Good","4.36x4.34x2.72","62.5","56","34.5","41.4","Medium / Slightly Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","no black 100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.7807262569832403,716,"559.24"
"106250384","375-2444","Round","0.31","F","","","","","SI1","Excellent","GIA","2155335366","http://DiamondTransactions.net/icp?di=106250384","","","1700","527.00","Excellent","Very Good","4.41x4.43x2.64","59.8","58","","","Thin","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","no black100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.7083333333333334,744,"527.00"
"106250393","375-2471","Round","0.31","I","","","","","SI2","Excellent","GIA","6157555588","http://DiamondTransactions.net/icp?di=106250393","","","1330","412.30","Excellent","Very Good","4.38x4.4x2.71","61.7","57","","","Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No Black100% Eye Clean","1-212-869-8766","","haharonoff@gmail.com",0.9363636363636364,440,"412.30"
"106250405","375-2514","Round","0.32","D","","","","","SI1","Excellent","GIA","5151554189","http://DiamondTransactions.net/icp?di=106250405","","","1804","577.28","Excellent","Excellent","4.44x4.47x2.72","61","57","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No Black100% Eye Clean","1-212-869-8766","","haharonoff@gmail.com",0.8149717514124294,708,"577.28"
"106250408","375-2521","Round","0.31","G","","","","","SI2","Excellent","GIA","1152553277","http://DiamondTransactions.net/icp?di=106250408","","","1440","446.40","Excellent","Excellent","4.37x4.4x2.72","62","56","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No Black Eye Clean","1-212-869-8766","","haharonoff@gmail.com",0.8560460652591171,521,"446.40"
"106250413","375-2526","Round","0.31","E","","","","","SI1","Excellent","GIA","2155553166","http://DiamondTransactions.net/icp?di=106250413","","","1722","533.82","Very Good","Very Good","4.39x4.4x2.7","61.4","57","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No Black Eye Clean","1-212-869-8766","","haharonoff@gmail.com",0.7285129604365621,733,"533.82"
"106250417","375-2539","Round","0.31","F","","","","","SI1","Excellent","GIA","2155554202","http://DiamondTransactions.net/icp?di=106250417","","","1640","508.40","Excellent","Very Good","4.43x4.38x2.63","59.8","58","32","41.2","Medium / Slightly Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No Black Eye Clean","1-212-869-8766","","haharonoff@gmail.com",0.6827956989247311,744,"508.40"
"106250422","375-2545","Round","0.31","E","","","","","SI1","Excellent","GIA","2155554206","http://DiamondTransactions.net/icp?di=106250422","","","1722","533.82","Excellent","Very Good","4.42x4.44x2.65","59.8","58","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No Black Eye Clean","1-212-869-8766","","haharonoff@gmail.com",0.7934621099554234,673,"533.82"
"106250427","375-2553","Round","0.32","F","","","","","SI1","Excellent","GIA","5151553046","http://DiamondTransactions.net/icp?di=106250427","","","1700","544.00","Excellent","Excellent","4.41x4.43x2.73","61.7","57","","","Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No Black 100% Eye Clean","1-212-869-8766","","haharonoff@gmail.com",0.9173693086003373,593,"544.00"
"106250430","375-2560","Round","0.31","F","","","","","SI1","Excellent","GIA","2155582563","http://DiamondTransactions.net/icp?di=106250430","","","1700","527.00","Very Good","Excellent","4.37x4.4x2.63","59.9","61","","","Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.7682215743440233,686,"527.00"
"106250453","375-2612","Round","0.32","E","","","","","SI1","Excellent","GIA","1152873424","http://DiamondTransactions.net/icp?di=106250453","","","1785","571.20","Excellent","Excellent","4.42x4.46x2.68","60.3","61","","","Medium / Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No black100% Eye clean","1-212-869-8766","","haharonoff@gmail.com",0.827536231884058,690,"571.20"
"106250460","375-2621","Round","0.32","E","","","","","SI1","Excellent","GIA","2155873563","http://DiamondTransactions.net/icp?di=106250460","","","1785","571.20","Excellent","Excellent","4.36x4.39x2.7","61.6","61","","","Medium / Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No black100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.827536231884058,690,"571.20"
"106250467","375-2637","Round","0.32","D","","","","","SI2","Excellent","GIA","1152865514","http://DiamondTransactions.net/icp?di=106250467","","","1501","480.32","Very Good","Very Good","4.38x4.41x2.74","62.4","59","","","Medium / Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No Black 100% Eye clean","1-212-869-8766","","haharonoff@gmail.com",0.6495263870094723,739,"480.32"
"106250474","375-2648","Round","0.31","F","","","","","SI1","Excellent","GIA","2155873585","http://DiamondTransactions.net/icp?di=106250474","","","1700","527.00","Very Good","Excellent","4.31x4.34x2.66","61.6","60","","","Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No black100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.7682215743440233,686,"527.00"
"106250479","375-2654","Round","0.31","E","","","","","SI1","Very Good","GIA","5151865523","http://DiamondTransactions.net/icp?di=106250479","","","1680","520.80","Excellent","Very Good","4.31x4.35x2.7","62.3","60","","","Slightly Thick / Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No black100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.774145616641902,673,"520.80"
"106250488","375-2663","Round","0.32","D","","","","","SI2","Very Good","GIA","2151866318","http://DiamondTransactions.net/icp?di=106250488","","","1501","480.32","Very Good","Very Good","4.42x4.4x2.71","61.6","59","34.5","41","Slightly Thick / Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","Eye clean","1-212-869-8766","","haharonoff@gmail.com",0.6495263870094723,739,"480.32"
"106250491","375-2666","Round","0.32","E","","","","","SI1","Very Good","GIA","5151865195","http://DiamondTransactions.net/icp?di=106250491","","","1680","537.60","Very Good","Very Good","4.43x4.46x2.64","59.5","61","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.4014925373134328,1339.99,"537.60"
"106250493","375-2669","Round","0.31","D","","","","","SI2","Excellent","GIA","6157866358","http://DiamondTransactions.net/icp?di=106250493","","","1501","465.31","Very Good","Excellent","4.32x4.31x2.67","62","60","35.5","41.2","Medium / Slightly Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No black 100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.6343792633015006,733,"465.31"
"106250494","375-2670","Round","0.31","F","","","","","SI1","Excellent","GIA","2155865191","http://DiamondTransactions.net/icp?di=106250494","","","1640","508.40","Excellent","Very Good","4.33x4.36x2.69","61.8","59","","","Medium / Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.6827956989247311,744,"508.40"
"106250495","375-2671","Round","0.31","D","","","","","SI1","Very Good","GIA","2155863700","http://DiamondTransactions.net/icp?di=106250495","","","1738","538.78","Very Good","Very Good","4.31x4.34x2.63","60.9","62","","","Medium / Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","Eye clean","1-212-869-8766","","haharonoff@gmail.com",0.7527932960893855,716,"538.78"
"106250507","375-2692","Round","0.32","D","","","","","SI2","Very Good","GIA","2151866421","http://DiamondTransactions.net/icp?di=106250507","","","1501","480.32","Very Good","Very Good","4.39x4.36x2.69","61.4","62","35.5","41.2","Medium / Slightly Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No Black 100% Eye clean","1-212-869-8766","","haharonoff@gmail.com",0.6495263870094723,739,"480.32"
"106250512","375-2698","Round","0.31","E","","","","","SI2","Very Good","GIA","1152864705","http://DiamondTransactions.net/icp?di=106250512","","","1440","446.40","Very Good","Good","4.31x4.34x2.67","61.8","60","","","Medium / Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.38782608695652177,1149.99,"446.40"
"106250513","375-2699","Round","0.32","E","","","","","SI1","Good","GIA","5151864402","http://DiamondTransactions.net/icp?di=106250513","","","1617","517.44","Very Good","Very Good","4.3x4.35x2.71","62.6","59","","","Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.3858208955223881,1339.99,"517.44"
"106250514","375-2700","Round","0.31","E","","","","","SI2","Excellent","GIA","6157866371","http://DiamondTransactions.net/icp?di=106250514","","","1440","446.40","Very Good","Very Good","4.36x4.33x2.68","61.7","61","35.5","41","Medium / Slightly Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.8198529411764706,544,"446.40"
"106250518","375-2705","Round","0.31","D","","","","","SI1","Very Good","GIA","5151864769","http://DiamondTransactions.net/icp?di=106250518","","","1738","538.78","Good","Good","4.35x4.39x2.63","60.3","61","","","Medium / Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","Eye Clean","1-212-869-8766","","haharonoff@gmail.com",0.9573712255772646,563,"538.78"
"106250523","375-2711","Round","0.31","G","","","","","SI2","Excellent","GIA","1156866321","http://DiamondTransactions.net/icp?di=106250523","","","1360","421.60","Excellent","Excellent","4.4x4.43x2.64","59.8","59","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No black100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.8099808061420346,521,"421.60"
"106250526","375-2714","Round","0.32","J","","","","","VVS1","Very Good","GIA","1156880895","http://DiamondTransactions.net/icp?di=106250526","","","1440","460.80","Very Good","Very Good","4.44x4.4x2.71","61.4","61","36","41","Thin / Slightly Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.5663390663390664,814.4,"460.80"
"106250535","375-2727","Round","0.33","E","","","","","SI1","Excellent","GIA","1152872573","http://DiamondTransactions.net/icp?di=106250535","","","1722","568.26","Very Good","Very Good","4.37x4.42x2.75","62.7","57","","","Medium / Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No black100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.3521388716676999,1613,"568.26"
"106250546","375-2748","Round","0.33","G","","","","","SI1","Very Good","GIA","1152886015","http://DiamondTransactions.net/icp?di=106250546","","","1520","501.60","Very Good","Very Good","4.4x4.43x2.75","62.2","60","","","Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.7130681818181818,704,"501.60"
"106250554","375-2759","Round","0.32","F","","","","","SI2","Very Good","GIA","6157900850","http://DiamondTransactions.net/icp?di=106250554","","","1360","435.20","Excellent","Very Good","4.43x4.4x2.67","60.6","60","34.5","40.6","Slightly Thick / Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","100% eye clean","1-212-869-8766","","haharonoff@gmail.com",0.7880434782608695,552,"435.20"
"106250572","375-2784","Round","0.31","D","","","","","SI1","Very Good","GIA","1162005655","http://DiamondTransactions.net/icp?di=106250572","","","1760","545.60","Very Good","Very Good","4.35x4.39x2.62","59.8","61","","","Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.7625698324022346,716,"545.60"
"106250599","375-2817","Round","0.31","E","","","","","SI1","Excellent","GIA","2161004499","http://DiamondTransactions.net/icp?di=106250599","","","1680","520.80","Excellent","Very Good","4.39x4.4x2.68","60.9","56","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","100% Eye Clean","1-212-869-8766","","haharonoff@gmail.com",0.774145616641902,673,"520.80"
"106250603","375-2824","Round","0.32","I","","","","","VVS2","Excellent","GIA","1166004797","http://DiamondTransactions.net/icp?di=106250603","","","1444","462.08","Excellent","Very Good","4.4x4.43x2.7","61","29","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.7344992050874404,629,"462.08"
"106250607","375-2830","Round","0.32","I","","","","","VS2","Very Good","GIA","6167004484","http://DiamondTransactions.net/icp?di=106250607","","","1411","451.52","Very Good","Very Good","4.35x4.33x2.72","62.6","59","35.5","41","Medium / Slightly Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.7129337539432177,634,"451.52"
"106250644","375-2879","Round","0.31","F","","","","","SI2","Very Good","GIA","1166153490","http://DiamondTransactions.net/icp?di=106250644","","","1275","395.25","Very Good","Very Good","4.42x4.46x2.62","59","63","","","Thin","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","No Black100% Eye Clean","1-212-869-8766","","haharonoff@gmail.com",0.7247706422018348,545,"395.25"
"106250671","375-2909","Round","0.31","J","","","","","VS2","Very Good","GIA","6167153536","http://DiamondTransactions.net/icp?di=106250671","","","1280","396.80","Very Good","Very Good","4.31x4.35x2.67","61.8","60","","","Very Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.33931623931623933,1169.99,"396.80"
"106250673","375-2911","Round","0.33","J","","","","","VS2","Very Good","GIA","2161153669","http://DiamondTransactions.net/icp?di=106250673","","","1360","448.80","Excellent","Excellent","4.48x4.44x2.74","61.5","61","35.5","41.2","Thin / Slightly Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.9635193133047211,466,"448.80"
"106250674","375-2912","Round","0.33","J","","","","","VS2","Very Good","GIA","6167153522","http://DiamondTransactions.net/icp?di=106250674","","","1360","448.80","Very Good","Very Good","4.44x4.49x2.75","61.6","60","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",1,449,"448.80"
"106250748","471-1077","Round","0.41","D","","","","","SI2","Excellent","GIA","2131512671","http://DiamondTransactions.net/icp?di=106250748","","","1870","766.70","Very Good","Very Good","4.82x4.78x2.93","61.1","58","34.5","41.2","Medium / Slightly Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.5242652084757348,1463,"766.70"
"106250782","471-1367","Round","0.4","I","","","","","SI1","Excellent","GIA","2151875093","http://DiamondTransactions.net/icp?di=106250782","","","1620","648.00","Excellent","Very Good","4.71x4.77x2.92","61.5","61","","","Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.39584605986560784,1637,"648.00"
"106250789","471-1375","Round","0.4","E","","","","","SI2","Excellent","GIA","6157875136","http://DiamondTransactions.net/icp?di=106250789","","","1785","714.00","Very Good","Very Good","4.76x4.78x2.93","61.4","57","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.5324384787472036,1341,"714.00"
"106250795","471-1387","Round","0.43","E","","","","","SI1","Very Good","GIA","2155865592","http://DiamondTransactions.net/icp?di=106250795","","","1920","825.60","Excellent","Excellent","4.78x4.82x2.98","62","61","","","Slightly Thick / Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.2961634994621728,2789,"825.60"
"106250803","471-1396","Round","0.42","G","","","","","SI1","Very Good","GIA","2155864940","http://DiamondTransactions.net/icp?di=106250803","","","1804","757.68","Excellent","Very Good","4.76x4.81x2.99","62.4","59","","","Medium / Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.3029576338928857,2502,"757.68"
"106250836","471-1437","Round","0.43","J","","","","","VVS2","Very Good","GIA","2161004814","http://DiamondTransactions.net/icp?di=106250836","","","1520","653.60","Very Good","Very Good","4.81x4.86x2.99","61.9","60","","","Thin / Medium","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.8639365918097754,756.8,"653.60"
"106250843","471-1445","Round","0.43","F","","","","","SI2","Excellent","GIA","1166153427","http://DiamondTransactions.net/icp?di=106250843","","","1700","731.00","Very Good","Excellent","4.84x4.81x2.97","61.5","61","35","41.2","Medium / Slightly Thick","","","","None","","","M. Aharonoff Co. Inc.","USA","New York","Eye Clean","1-212-869-8766","","haharonoff@gmail.com",0.31319622964867183,2334,"731.00"
"106250857","471-1461","Round","0.45","I","","","","","VS1","Excellent","GIA","1166291668","http://DiamondTransactions.net/icp?di=106250857","","","1760","792.00","Excellent","Excellent","4.88x4.92x3.04","62.1","58","","","Medium / Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.8599348534201955,921,"792.00"
"106250858","471-1462","Round","0.41","I","","","","","VVS2","Excellent","GIA","2161292794","http://DiamondTransactions.net/icp?di=106250858","","","1680","688.80","Excellent","Excellent","4.71x4.75x2.95","62.3","57","","","Medium / Slightly Thick","None","","","None","","","M. Aharonoff Co. Inc.","USA","New York","","1-212-869-8766","","haharonoff@gmail.com",0.41961023142509135,1642,"688.80"
